Reaction_Type,Metal,Support,Promoter,Preparation_Method,Metal_Loading_wt%,Temperature_C,Pressure_bar,GHSV_h-1,H2_CO_Ratio,Activity,Selectivity,Stability,TOF_s-1,Activation_Energy_kJ_mol
dry-reforming,Cr,Al2O3,SrO,ALD,6.74,878.2,30.2,28430.0,3.22,0.5132,0.4041,0.5845,26.08,157.4
syngas-to-ethanol,Mn,C,Na2O,Sol-gel,8.9,766.2,11.5,6720.0,0.8,0.4912,0.4681,0.5014,3.26,175.6
co2-reduction,V,ZrO2,Cs2O,Flame-spray,17.21,266.4,2.2,15076.0,3.6,0.4928,0.5081,0.6486,20.58,150.1
dehydrogenation,Ti,TiO2,None,Hydrothermal,11.3,863.5,98.3,8698.0,2.76,0.3784,0.3574,0.5204,11.62,157.8
dehydrogenation,Co,MgO,Na2O,Co-precipitation,24.0,273.1,7.8,15580.0,2.84,0.5523,0.4792,0.99,38.22,118.8
syngas-to-ethanol,In,MCM-41,Na2O,Electrodeposition,22.51,326.8,60.3,4365.0,3.66,0.6149,0.6399,0.8202,12.23,48.0
methanol-synthesis,Sn,HZSM-5,K2O,Sputtering,14.04,130.5,45.0,22783.0,1.67,0.4694,0.4447,0.5654,7.23,85.6
hydrogenation,W,MgO,SrO,Co-precipitation,21.64,287.5,77.5,30810.0,0.88,0.5993,0.5604,0.99,7.13,141.6
ammonia-synthesis,Co,SAPO-34,Cs2O,Co-precipitation,14.02,609.6,79.9,44533.0,1.65,0.5772,0.5167,0.2066,10.47,125.2
co2-reduction,Cr,SiO2,BaO,Hydrothermal,10.98,489.5,37.9,36567.0,2.01,0.5665,0.472,0.6251,14.76,46.2
ethanol-to-jet,Cu,MOF-5,La2O3,Ion-exchange,11.51,816.8,91.4,1854.0,2.53,0.4234,0.351,0.8438,1.62,44.5
syngas-to-ethanol,Mn,MOF-5,Li2O,Hydrothermal,22.5,888.4,54.2,41874.0,3.38,0.3669,0.3623,0.3787,3.64,148.4
methanol-synthesis,Mo,Al2O3,Na2O,Sol-gel,9.36,612.9,71.2,4296.0,1.9,0.574,0.528,0.6719,8.03,144.8
dehydrogenation,Ni,Graphene,CaO,Co-precipitation,2.71,619.0,40.9,1146.0,3.43,0.4453,0.4789,0.937,14.46,139.1
dry-reforming,Ti,ZrO2,Li2O,Sputtering,12.5,866.4,84.3,16390.0,3.12,0.4168,0.4631,0.6084,23.46,133.6
hydrogenation,V,MCM-41,La2O3,Hydrothermal,3.04,166.2,32.0,6111.0,2.7,0.5959,0.5469,0.9267,30.79,131.8
biomass-to-hmf,Ag,ZrO2,Li2O,Flame-spray,0.51,630.9,26.5,20296.0,3.99,0.5979,0.5497,0.8101,6.83,107.1
water-gas-shift,Ru,BEA,Li2O,Electrodeposition,6.32,540.2,52.9,19175.0,3.15,0.568,0.5234,0.8962,7.38,114.9
water-gas-shift,W,SAPO-34,K2O,Hydrothermal,20.09,123.7,92.0,49268.0,3.3,0.5201,0.5679,0.7019,13.14,52.0
hydrogenation,Ti,BEA,Na2O,ALD,5.85,617.7,83.1,15038.0,2.2,0.6372,0.7477,0.4657,19.71,92.6
syngas-to-ethanol,Cu,ZrO2,CaO,Electrodeposition,24.11,184.2,98.9,27692.0,3.33,0.6159,0.591,0.8339,34.12,80.6
co2-reduction,Sn,Al2O3,None,Electrodeposition,2.28,302.9,54.5,8450.0,0.89,0.6244,0.6708,0.8463,21.57,79.2
biomass-to-hmf,Ag,CNT,K2O,Flame-spray,23.35,141.1,17.2,45968.0,3.55,0.5667,0.5809,0.8431,42.22,59.0
biomass-to-hmf,Cu,SiO2,K2O,Sol-gel,10.2,429.0,81.1,24827.0,3.4,0.6326,0.6278,0.7468,33.21,35.0
dry-reforming,Zn,MCM-41,None,Impregnation,15.63,405.2,75.7,31499.0,0.94,0.5709,0.534,0.5955,3.4,132.4
syngas-to-ethanol,Rh,Al2O3,Li2O,ALD,14.46,353.9,95.3,22544.0,0.74,0.6438,0.6238,0.6262,3.01,154.6
biomass-to-hmf,Zn,HZSM-5,CaO,Electrodeposition,18.59,771.0,65.5,30178.0,2.31,0.4551,0.5053,0.7558,19.01,107.1
dehydrogenation,Ti,MOF-5,La2O3,Sputtering,17.81,105.3,57.7,23334.0,2.27,0.614,0.6353,0.5673,5.65,76.0
methanol-synthesis,Ru,CeO2,None,Co-precipitation,3.2,807.3,22.9,4351.0,1.83,0.3567,0.38,0.8436,14.99,34.1
ethanol-to-jet,W,Al2O3,Li2O,ALD,11.77,441.6,19.2,20512.0,1.34,0.6602,0.6252,0.6897,44.47,31.0
water-gas-shift,V,ZrO2,Li2O,Ion-exchange,19.54,377.8,4.2,6503.0,3.46,0.7276,0.6856,0.7962,97.38,118.5
syngas-to-ethanol,Fe,Al2O3,Na2O,ALD,7.35,824.3,93.1,43270.0,1.13,0.4876,0.5543,0.5924,11.55,143.0
water-gas-shift,Ti,Al2O3,Na2O,Co-precipitation,19.19,396.5,96.8,19970.0,2.08,0.6717,0.6236,0.7619,0.92,79.2
hydrogenation,Ce,Al2O3,Li2O,Impregnation,8.68,116.2,48.6,44332.0,2.68,0.5997,0.5789,0.787,20.87,117.7
dehydrogenation,Mn,SiO2,Li2O,Ion-exchange,14.2,663.4,27.9,43323.0,3.58,0.5549,0.4896,0.6323,20.56,157.6
syngas-to-ethanol,Ni,MOF-5,CaO,Deposition-precipitation,21.65,433.5,26.6,47047.0,3.58,0.6935,0.7534,0.9231,20.8,53.6
methanol-synthesis,Pt,HZSM-5,K2O,Hydrothermal,24.74,154.1,73.6,41109.0,3.55,0.5827,0.526,0.7307,41.53,42.6
co2-reduction,Pd,SBA-15,CaO,Co-precipitation,4.65,738.4,84.9,22757.0,0.96,0.4436,0.5045,0.9526,2.44,90.2
syngas-to-ethanol,Rh,SiO2,Li2O,Deposition-precipitation,4.44,234.9,86.4,41111.0,2.61,0.5825,0.6788,0.5967,1.96,143.1
syngas-to-ethanol,Ce,SBA-15,SrO,Co-precipitation,10.05,595.7,43.8,49212.0,2.94,0.5851,0.5935,0.5952,2.53,51.8
methanol-synthesis,Cu,Al2O3,BaO,ALD,17.31,626.3,97.1,11884.0,2.78,0.839,0.9554,0.7585,10.94,168.8
water-gas-shift,Ru,ZrO2,Rb2O,Co-precipitation,19.28,164.0,48.4,44307.0,3.06,0.5534,0.5121,0.6634,11.16,80.4
hydrogenation,Pt,Graphene,Cs2O,Sol-gel,21.68,503.3,22.6,16052.0,3.48,0.7675,0.7397,0.7848,5.01,75.9
hydrogenation,Ti,HZSM-5,K2O,Deposition-precipitation,7.36,661.9,4.1,22165.0,1.86,0.6418,0.7581,0.6303,0.12,125.2
methanol-synthesis,Pd,TiO2,CaO,Impregnation,2.11,582.4,52.8,2102.0,0.52,0.5268,0.4793,0.7474,2.16,50.5
hydrogenation,Ce,TiO2,None,Ion-exchange,15.02,601.5,21.1,13013.0,2.43,0.5273,0.4586,0.5568,6.77,120.5
dry-reforming,Pd,Al2O3,K2O,Co-precipitation,19.02,646.5,86.1,15702.0,2.53,0.5369,0.6267,0.6377,2.2,53.8
hydrogenation,Mo,TiO2,None,Sol-gel,8.47,140.8,89.5,14587.0,1.92,0.5248,0.399,0.793,3.08,37.9
co2-reduction,Pt,CeO2,None,Sputtering,4.32,413.5,92.2,4327.0,3.61,0.6331,0.7031,0.7309,59.14,70.0
co2-reduction,Sn,SiO2,None,Electrodeposition,10.09,860.0,25.6,41127.0,1.12,0.4449,0.4829,0.7931,13.14,60.5
ammonia-synthesis,Cu,BEA,CaO,Sputtering,12.98,458.8,20.6,8572.0,3.78,0.6089,0.552,0.4907,22.29,51.5
biomass-to-hmf,Co,CeO2,None,Ion-exchange,4.67,396.1,1.8,5153.0,1.59,0.6321,0.5745,0.6721,2.61,55.2
methanol-synthesis,Pd,C,Li2O,Impregnation,1.51,833.2,60.0,28346.0,3.36,0.4321,0.3986,0.6987,16.55,166.6
water-gas-shift,Ni,MgO,Cs2O,Ion-exchange,3.55,401.4,69.7,38308.0,2.22,0.5804,0.4965,0.6841,2.64,170.6
syngas-to-ethanol,Fe,MOF-5,BaO,ALD,11.3,788.1,20.2,13305.0,3.79,0.4779,0.5443,0.4677,0.94,110.6
hydrogenation,Zn,MCM-41,Cs2O,Deposition-precipitation,11.82,686.9,53.3,3731.0,0.76,0.567,0.5225,0.7549,10.85,137.8
co2-reduction,Au,ZrO2,BaO,Flame-spray,17.28,743.8,6.4,37705.0,3.35,0.4987,0.5377,0.5709,3.33,120.1
hydrogenation,Zn,CeO2,None,Flame-spray,20.68,868.0,93.4,10041.0,1.49,0.4538,0.4964,0.6859,8.66,55.1
ethanol-to-jet,Zn,HZSM-5,BaO,Co-precipitation,9.55,400.9,65.3,29428.0,1.15,0.7305,0.8513,0.8848,38.07,68.8
methanol-synthesis,Mn,CNT,K2O,ALD,4.62,135.4,70.7,43455.0,2.35,0.6075,0.5896,0.5264,18.13,51.0
dehydrogenation,Cr,SiO2,SrO,Co-precipitation,21.96,891.4,73.0,8128.0,1.44,0.4412,0.4965,0.4913,20.61,98.6
dehydrogenation,Sn,SBA-15,La2O3,Ion-exchange,19.28,267.4,89.7,4001.0,1.47,0.6513,0.7168,0.5699,14.21,63.4
ethanol-to-jet,W,HZSM-5,Na2O,Co-precipitation,23.05,621.5,94.1,20628.0,1.68,0.6105,0.6589,0.5127,3.92,63.7
biomass-to-hmf,Fe,C,K2O,Flame-spray,14.0,155.3,7.6,31711.0,3.32,0.6659,0.7984,0.6457,0.53,48.1
dehydrogenation,Sn,HZSM-5,La2O3,Hydrothermal,20.47,361.7,65.8,33067.0,3.28,0.5204,0.451,0.6725,15.57,69.4
water-gas-shift,Ni,C,BaO,Hydrothermal,17.38,110.5,81.7,21386.0,1.99,0.5999,0.5961,0.5614,5.91,100.9
water-gas-shift,Ni,ZrO2,Na2O,Impregnation,14.42,769.0,13.9,32617.0,0.61,0.4483,0.4553,0.7196,3.46,51.3
ammonia-synthesis,Ti,MOF-5,BaO,Ion-exchange,1.62,471.1,64.9,12021.0,2.72,0.5495,0.5817,0.9626,8.21,129.2
water-gas-shift,Ti,MgO,Li2O,Impregnation,18.95,724.2,52.5,35102.0,3.06,0.4528,0.4008,0.3573,2.21,86.9
water-gas-shift,Rh,MgO,None,Ion-exchange,19.24,800.0,18.4,49655.0,1.96,0.3225,0.383,0.7496,10.51,39.6
dehydrogenation,Pd,Graphene,Li2O,Ion-exchange,2.62,854.2,60.3,28256.0,1.82,0.3346,0.2933,0.705,9.92,70.9
dehydrogenation,Rh,ZrO2,SrO,Ion-exchange,5.29,143.3,30.6,6625.0,1.26,0.6405,0.7847,0.9388,53.14,145.6
biomass-to-hmf,Ce,ZrO2,None,Electrodeposition,23.82,654.1,26.1,33204.0,0.67,0.5459,0.5805,0.7325,17.06,125.5
ethanol-to-jet,Ce,CNT,CaO,Hydrothermal,4.56,282.4,32.0,39123.0,3.35,0.5419,0.5986,0.6324,30.24,104.8
biomass-to-hmf,Mn,Al2O3,La2O3,Co-precipitation,20.45,243.9,84.4,35481.0,2.09,0.5107,0.4609,0.7117,0.02,54.8
biomass-to-hmf,Ce,SiO2,Li2O,Deposition-precipitation,22.87,698.9,79.5,12958.0,1.16,0.5348,0.6109,0.6524,4.57,62.7
water-gas-shift,Ni,HZSM-5,BaO,Sol-gel,16.79,687.5,19.0,10375.0,2.79,0.5528,0.5385,0.6579,94.03,160.6
dry-reforming,Fe,CNT,Cs2O,Impregnation,14.65,749.4,44.1,16302.0,2.24,0.3859,0.3267,0.7725,16.24,173.0
biomass-to-hmf,Mn,ZrO2,Na2O,Ion-exchange,4.45,694.6,97.4,43667.0,0.73,0.5183,0.5538,0.6781,3.35,84.4
ammonia-synthesis,Pd,MgO,None,Impregnation,8.89,864.6,89.4,48637.0,2.21,0.556,0.5304,0.7453,12.04,36.8
co2-reduction,Pt,HZSM-5,SrO,Deposition-precipitation,23.42,181.8,68.6,48882.0,2.92,0.5111,0.4621,0.6995,21.61,96.4
water-gas-shift,Ni,CeO2,K2O,Sputtering,4.43,736.3,64.1,43755.0,0.93,0.4108,0.4259,0.692,30.83,113.4
syngas-to-ethanol,W,SiO2,Cs2O,Hydrothermal,21.93,789.5,96.4,46845.0,2.69,0.4674,0.3935,0.2937,15.24,50.0
biomass-to-hmf,Cr,CeO2,La2O3,Hydrothermal,18.0,522.0,95.2,42792.0,1.67,0.5844,0.6097,0.6893,23.83,88.6
hydrogenation,Ni,HZSM-5,Cs2O,ALD,6.91,224.0,84.9,32788.0,0.82,0.5608,0.5551,0.6524,22.41,155.8
hydrogenation,Pd,CNT,Cs2O,Sputtering,10.22,567.8,34.6,25477.0,3.93,0.8936,0.8313,0.6607,35.49,136.7
methanol-synthesis,Co,CNT,None,Sol-gel,24.75,686.9,98.8,20106.0,1.06,0.4732,0.3905,0.3657,2.33,171.5
ethanol-to-jet,Ni,Graphene,BaO,Hydrothermal,2.87,188.4,7.1,26935.0,2.26,0.596,0.5246,0.6661,18.92,71.4
hydrogenation,Mo,SAPO-34,Cs2O,Hydrothermal,14.98,340.5,57.5,22567.0,2.87,0.6658,0.5741,0.7779,1.36,89.2
syngas-to-ethanol,V,CeO2,Li2O,Co-precipitation,8.98,304.1,75.9,11017.0,1.79,0.6753,0.7562,0.99,16.75,108.5
syngas-to-ethanol,Au,MgO,SrO,Co-precipitation,24.19,427.1,49.4,12792.0,0.75,0.7224,0.7585,0.574,0.62,57.7
hydrogenation,Rh,MCM-41,SrO,ALD,23.21,343.0,17.0,46848.0,3.91,0.8905,0.9077,0.4821,23.96,174.2
biomass-to-hmf,Ce,C,La2O3,Flame-spray,17.31,801.9,86.9,24298.0,0.86,0.3537,0.3784,0.4096,26.7,117.7
water-gas-shift,Mn,TiO2,None,Impregnation,13.11,570.5,38.5,45274.0,0.7,0.5476,0.5637,0.8346,10.37,83.9
water-gas-shift,Fe,SiO2,Rb2O,Electrodeposition,16.86,494.1,27.4,43811.0,0.56,0.5669,0.6162,0.7731,3.39,98.5
dehydrogenation,Sn,MOF-5,Na2O,Deposition-precipitation,5.77,848.5,94.1,38341.0,2.62,0.4536,0.4595,0.9033,11.64,34.0
ethanol-to-jet,V,C,La2O3,ALD,0.69,433.7,12.7,30461.0,1.33,0.5251,0.5068,0.5676,13.89,77.4
dry-reforming,Mn,MCM-41,SrO,Flame-spray,7.13,543.1,57.4,42704.0,3.11,0.6457,0.5974,0.6713,2.2,149.0
biomass-to-hmf,Cr,SiO2,None,Impregnation,7.24,115.1,49.3,28737.0,2.86,0.4768,0.4468,0.7165,19.11,112.8
hydrogenation,In,BEA,Na2O,Co-precipitation,13.71,798.9,12.2,12826.0,3.38,0.4033,0.4958,0.572,4.5,68.9
ammonia-synthesis,Ag,Graphene,CaO,Sol-gel,21.81,523.1,15.3,25162.0,0.63,0.6527,0.6984,0.7822,0.85,101.6
syngas-to-ethanol,In,BEA,CaO,Co-precipitation,20.74,360.9,15.9,29927.0,0.7,0.5187,0.4008,0.6542,5.7,141.3
biomass-to-hmf,Mo,SAPO-34,La2O3,Co-precipitation,13.72,561.1,13.1,32035.0,2.05,0.6301,0.6346,0.523,1.63,89.2
methanol-synthesis,Fe,ZrO2,None,Flame-spray,20.85,168.2,51.8,35823.0,0.6,0.4618,0.4682,0.8956,3.74,149.5
biomass-to-hmf,Ce,MgO,Li2O,ALD,22.46,187.7,53.4,10850.0,1.2,0.5931,0.4448,0.6678,3.87,169.5
dehydrogenation,Cu,MgO,Li2O,Ion-exchange,13.9,647.1,63.9,49940.0,1.85,0.5831,0.7017,0.482,18.49,74.1
dry-reforming,Pd,MCM-41,K2O,ALD,14.91,191.0,46.8,28021.0,3.88,0.5963,0.4939,0.7135,48.19,160.3
syngas-to-ethanol,Mn,CNT,BaO,Electrodeposition,11.07,440.1,16.0,12503.0,1.51,0.6943,0.7224,0.433,11.88,105.0
ethanol-to-jet,Cu,Al2O3,Cs2O,Sputtering,6.75,302.5,87.7,36995.0,0.95,0.6584,0.6492,0.7537,4.05,153.7
dehydrogenation,Ag,MgO,SrO,Flame-spray,13.24,772.4,49.5,13937.0,3.17,0.4606,0.481,0.5914,8.38,128.5
methanol-synthesis,V,BEA,K2O,Hydrothermal,13.52,712.4,25.3,19483.0,1.61,0.4905,0.4913,0.6246,1.7,72.1
co2-reduction,V,TiO2,Rb2O,Flame-spray,18.68,824.4,31.9,16765.0,0.62,0.3101,0.3288,0.5205,10.0,103.0
dry-reforming,Mn,Graphene,Rb2O,Flame-spray,21.34,758.4,64.0,10894.0,1.17,0.412,0.3887,0.6655,2.59,168.6
dry-reforming,Ti,C,Na2O,Co-precipitation,20.34,783.0,19.2,5805.0,2.59,0.3761,0.3545,0.7896,4.52,69.6
ethanol-to-jet,Ce,TiO2,SrO,Flame-spray,1.09,516.6,55.6,21304.0,3.44,0.5485,0.5952,0.6823,2.09,33.8
ethanol-to-jet,In,TiO2,Li2O,Deposition-precipitation,0.75,337.5,85.8,32528.0,3.24,0.5422,0.4507,0.7644,12.23,165.5
biomass-to-hmf,Cr,ZrO2,Na2O,Sol-gel,18.18,453.8,82.6,41911.0,2.14,0.5697,0.4499,0.8189,54.96,68.2
biomass-to-hmf,Co,Al2O3,La2O3,Sputtering,11.41,658.5,78.4,37757.0,1.08,0.5623,0.5499,0.7154,13.62,45.7
methanol-synthesis,Au,Graphene,CaO,Hydrothermal,3.81,320.3,54.4,5401.0,2.64,0.7268,0.6394,0.5678,12.19,98.7
dry-reforming,Zn,C,BaO,Sol-gel,12.87,657.9,58.0,33069.0,3.65,0.6651,0.6876,0.7696,27.2,162.1
biomass-to-hmf,Ru,ZrO2,Cs2O,Flame-spray,16.14,614.1,76.8,34250.0,3.46,0.4404,0.4703,0.5894,0.41,157.6
methanol-synthesis,Ce,Al2O3,BaO,Sputtering,8.04,821.0,38.2,25803.0,3.57,0.4182,0.4242,0.4743,9.36,118.3
co2-reduction,Au,HZSM-5,BaO,Impregnation,12.92,131.1,84.0,38263.0,2.53,0.5466,0.5002,0.6331,61.25,46.0
biomass-to-hmf,Mo,ZrO2,CaO,Co-precipitation,17.28,693.2,36.4,30025.0,1.42,0.564,0.5319,0.5891,2.98,74.0
biomass-to-hmf,W,TiO2,La2O3,Impregnation,16.19,526.9,79.8,2281.0,0.89,0.4777,0.4553,0.6519,1.79,150.0
co2-reduction,Rh,ZrO2,Na2O,Impregnation,11.34,643.4,17.3,12754.0,2.42,0.4827,0.6049,0.6188,5.6,68.8
dehydrogenation,Ru,MgO,K2O,Deposition-precipitation,16.7,185.9,19.4,44890.0,1.73,0.5564,0.5226,0.6942,10.43,61.3
co2-reduction,W,Al2O3,SrO,Flame-spray,0.9,350.7,52.3,8032.0,3.9,0.6114,0.4914,0.5941,28.82,89.4
methanol-synthesis,V,BEA,Li2O,Flame-spray,14.43,440.5,85.0,29888.0,1.83,0.6525,0.6588,0.7463,21.91,68.2
water-gas-shift,V,SAPO-34,Rb2O,Ion-exchange,19.69,709.0,43.4,47829.0,1.76,0.375,0.3786,0.3087,10.45,147.0
co2-reduction,Ce,CeO2,Cs2O,Electrodeposition,17.14,816.9,19.4,37906.0,1.08,0.432,0.3812,0.3428,63.27,120.1
methanol-synthesis,Ni,BEA,SrO,Hydrothermal,7.51,580.7,51.2,24879.0,1.84,0.5678,0.7223,0.6142,4.75,51.1
hydrogenation,Mn,TiO2,CaO,Impregnation,13.48,621.2,4.8,43484.0,2.91,0.514,0.4888,0.7196,0.25,89.4
ethanol-to-jet,Au,SAPO-34,La2O3,Flame-spray,11.55,227.4,48.9,6457.0,3.92,0.6068,0.5676,0.7004,2.63,149.3
water-gas-shift,Au,MOF-5,Li2O,Hydrothermal,5.63,196.2,63.3,1522.0,1.67,0.5826,0.5419,0.7213,10.35,96.1
biomass-to-hmf,Cr,SiO2,K2O,Hydrothermal,0.66,410.3,1.6,17724.0,3.51,0.6831,0.596,0.6075,9.06,97.3
dehydrogenation,Mn,SAPO-34,SrO,Deposition-precipitation,13.84,301.1,47.4,8548.0,3.9,0.6028,0.5094,0.7931,0.89,38.9
dehydrogenation,Ti,HZSM-5,Na2O,Sol-gel,5.29,848.5,52.0,19902.0,1.19,0.4639,0.33,0.5661,0.13,74.7
co2-reduction,Mn,TiO2,K2O,Ion-exchange,4.52,101.6,87.0,23881.0,2.65,0.5087,0.4884,0.8571,0.71,149.7
biomass-to-hmf,V,C,CaO,Co-precipitation,1.8,603.9,4.7,35520.0,3.12,0.465,0.4593,0.7022,10.85,50.8
dry-reforming,Zn,BEA,Cs2O,Impregnation,21.28,233.7,71.0,31303.0,0.85,0.6365,0.5125,0.7558,3.33,56.6
hydrogenation,Sn,SiO2,Cs2O,Flame-spray,7.33,431.2,21.8,5764.0,0.9,0.6305,0.5815,0.6073,12.64,162.0
ammonia-synthesis,Ce,MOF-5,Cs2O,Impregnation,7.0,339.5,32.5,1396.0,1.85,0.6682,0.7744,0.6206,24.25,47.9
hydrogenation,W,MCM-41,K2O,ALD,14.31,676.2,95.5,24959.0,1.28,0.5833,0.6707,0.5109,35.21,87.3
biomass-to-hmf,Ru,ZrO2,Rb2O,Sputtering,16.11,158.7,53.3,17261.0,3.55,0.5797,0.6307,0.631,2.26,83.8
ethanol-to-jet,In,SBA-15,Na2O,Co-precipitation,24.39,873.9,95.5,1659.0,1.0,0.5233,0.5062,0.7823,12.85,52.0
ammonia-synthesis,Sn,Graphene,Na2O,Ion-exchange,22.67,632.3,45.6,18713.0,2.73,0.4673,0.5125,0.5331,23.54,114.8
dehydrogenation,Ag,BEA,La2O3,ALD,2.07,712.6,94.4,49010.0,0.63,0.4551,0.4371,0.6145,1.11,99.4
ammonia-synthesis,Pt,SAPO-34,BaO,Sputtering,21.77,111.7,86.8,47054.0,3.94,0.4987,0.5271,0.763,2.67,140.7
co2-reduction,Zn,BEA,Rb2O,Flame-spray,1.3,745.6,89.8,27275.0,2.74,0.4337,0.4591,0.5429,14.68,108.2
hydrogenation,Sn,Al2O3,CaO,Ion-exchange,11.1,691.2,23.6,12940.0,2.64,0.5742,0.632,0.5937,2.14,74.8
ammonia-synthesis,Rh,MgO,CaO,ALD,7.42,321.1,74.1,3651.0,3.51,0.6316,0.6962,0.6554,0.89,109.1
dry-reforming,Pt,MgO,K2O,Electrodeposition,0.61,899.6,71.8,41183.0,3.86,0.4086,0.5225,0.7106,2.43,72.1
biomass-to-hmf,Ce,SiO2,K2O,Impregnation,1.54,420.9,17.7,18616.0,1.4,0.574,0.6848,0.6206,5.92,157.6
hydrogenation,Ti,Al2O3,Cs2O,Flame-spray,20.76,847.4,5.7,10269.0,1.35,0.3733,0.3383,0.4163,6.51,145.0
water-gas-shift,Ru,CeO2,Li2O,Flame-spray,2.69,118.3,49.3,10333.0,1.06,0.4517,0.5022,0.9102,46.12,69.8
ethanol-to-jet,Ag,TiO2,Li2O,Hydrothermal,19.43,367.2,51.3,46601.0,2.63,0.5639,0.5529,0.6836,24.27,143.6
methanol-synthesis,Mn,TiO2,None,ALD,20.78,719.5,10.6,2822.0,2.25,0.3775,0.3525,0.5835,12.49,66.2
syngas-to-ethanol,Zn,CNT,K2O,Co-precipitation,23.4,485.6,46.3,23283.0,3.77,0.5404,0.5707,0.5837,1.7,134.6
water-gas-shift,Cr,SAPO-34,CaO,Ion-exchange,18.68,211.2,63.7,32627.0,1.45,0.6106,0.7194,0.6575,2.13,130.9
hydrogenation,Ce,CNT,Li2O,Sol-gel,15.55,140.9,76.2,20340.0,1.32,0.4754,0.4449,0.6837,12.75,59.1
syngas-to-ethanol,Pd,MOF-5,SrO,ALD,18.71,851.6,79.1,21548.0,2.49,0.3596,0.3295,0.3952,6.08,164.3
hydrogenation,Pd,MOF-5,Li2O,Deposition-precipitation,0.82,368.7,9.4,4862.0,2.06,0.9414,0.8885,0.812,1.18,128.1
ammonia-synthesis,Ce,MgO,SrO,Deposition-precipitation,18.94,448.4,69.4,24706.0,1.0,0.6448,0.6605,0.7472,4.75,172.7
methanol-synthesis,Cu,ZrO2,Li2O,Sputtering,13.54,649.5,99.8,13103.0,2.15,0.8606,0.8939,0.6087,17.5,33.8
methanol-synthesis,Ru,MCM-41,La2O3,Electrodeposition,16.81,349.1,56.2,37863.0,1.48,0.6167,0.5425,0.6376,10.69,111.8
biomass-to-hmf,Ru,SiO2,BaO,Ion-exchange,2.71,701.4,2.6,18376.0,0.94,0.3722,0.3926,0.7135,8.97,172.4
hydrogenation,Sn,SAPO-34,None,Deposition-precipitation,14.85,484.9,94.5,35877.0,1.07,0.685,0.7284,0.7575,5.77,168.2
water-gas-shift,Cr,CNT,CaO,Co-precipitation,16.58,751.2,42.4,35251.0,3.78,0.348,0.3521,0.597,3.42,162.6
syngas-to-ethanol,W,ZrO2,La2O3,ALD,17.57,506.8,67.5,49496.0,1.06,0.6017,0.496,0.7194,5.07,85.7
dry-reforming,Zn,CNT,La2O3,Sol-gel,19.2,588.1,76.3,22613.0,2.76,0.4814,0.3515,0.8883,18.41,97.5
co2-reduction,Zn,CNT,None,Deposition-precipitation,12.86,758.4,9.4,16100.0,0.57,0.269,0.2584,0.5017,6.15,116.0
methanol-synthesis,Ni,Graphene,La2O3,Hydrothermal,2.22,132.6,52.0,27739.0,1.15,0.6124,0.5703,0.6782,14.27,72.2
methanol-synthesis,Ag,CeO2,Cs2O,Flame-spray,16.89,324.8,1.4,26600.0,2.83,0.6216,0.6517,0.8778,34.29,39.8
water-gas-shift,V,Graphene,BaO,Hydrothermal,3.69,372.5,20.0,39087.0,1.66,0.8128,0.7523,0.8599,10.92,38.2
ammonia-synthesis,V,ZrO2,BaO,Electrodeposition,11.01,230.0,10.8,32348.0,3.29,0.5389,0.6129,0.7598,2.58,165.8
water-gas-shift,Cu,TiO2,SrO,Co-precipitation,11.36,246.7,34.2,12637.0,1.06,0.6044,0.4978,0.6506,1.14,71.7
dry-reforming,Zn,MOF-5,Li2O,Impregnation,17.78,611.9,55.5,9257.0,0.79,0.6286,0.5481,0.8116,12.45,155.0
methanol-synthesis,In,SBA-15,K2O,Deposition-precipitation,24.54,710.8,33.3,4345.0,2.34,0.3663,0.3342,0.5123,6.87,143.9
syngas-to-ethanol,Cr,Graphene,La2O3,Co-precipitation,16.59,784.6,33.5,3740.0,2.35,0.3975,0.4455,0.7549,4.65,168.7
methanol-synthesis,V,SAPO-34,Li2O,Co-precipitation,3.07,247.7,56.3,16769.0,2.44,0.5391,0.4298,0.6261,1.43,124.7
dry-reforming,Mn,SiO2,Li2O,Sputtering,24.99,397.9,7.8,8085.0,2.75,0.5159,0.497,0.4938,3.35,85.1
methanol-synthesis,Cu,Al2O3,BaO,Hydrothermal,3.2,728.9,21.4,14385.0,0.9,0.605,0.7247,0.6702,12.67,100.8
ethanol-to-jet,Ni,CeO2,BaO,Flame-spray,18.22,521.5,56.0,41820.0,2.0,0.5244,0.5159,0.8797,0.26,51.2
syngas-to-ethanol,Zn,CeO2,K2O,Hydrothermal,4.27,779.0,43.4,1619.0,1.95,0.4108,0.4058,0.6124,6.84,87.3
methanol-synthesis,Ti,HZSM-5,None,Sputtering,1.28,748.4,21.5,24818.0,1.42,0.3743,0.2906,0.6012,1.26,125.5
biomass-to-hmf,Co,Graphene,Na2O,Hydrothermal,18.74,858.6,31.6,20579.0,1.97,0.5021,0.4158,0.6231,5.98,146.9
dehydrogenation,V,C,BaO,Hydrothermal,12.51,716.8,78.7,8149.0,1.43,0.337,0.2891,0.8274,16.08,60.5
hydrogenation,Pd,CNT,None,Sol-gel,2.96,792.1,46.5,44560.0,2.38,0.6402,0.5385,0.7463,7.07,89.9
syngas-to-ethanol,Rh,CNT,SrO,Impregnation,9.62,342.1,81.7,9152.0,1.6,0.6612,0.8075,0.8185,1.95,86.9
